Chemical.ID	Chemical.Name	pathway	parent	uniqueID	readout	mask	curvep_wauc	curvep_pod	curvep_remark	curvep_n_corrections	curvep_mask	conc0	conc1	conc2	conc3	conc4	conc5	resp0	resp1	resp2	resp3	resp4	resp5	curvep_r0	curvep_r1	curvep_r2	curvep_r3	curvep_r4	curvep_r5
N1	Hydroxyurea	NBD	CSG|TBC|TOG|TPC	N1	via.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.513251998	-1.190375686	1.01254868	0.077861407	-3.968885353	-2.4826045875	0	0	0	0	0	0
N10	Phenobarbital sodium salt 	NBD	CSG|TBC|TOG|TPC	N10	via.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.8426588135	-3.4867032505	5.0281263525	5.0609914355	-4.746751525	-0.558371274	0	0	0	0	0	0
N11	2- ethylhexyl diphenyl phosphate (EHDP)	NBD	CSG|TBC|TOG|TPC	N11	via.a		-35.3337641	-4.46130576	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.994110223	-3.0139299285	0.804846387	-1.5139717965	-5.7367630165	-76.42814191	0	0	0	0	0	-76.4281419
N12	Dieldrin	NBD	CSG|TBC|TOG|TPC	N12	via.a		0	-4	NOISY	1	0 0 0 1 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.1960454355	0.4305614185	-6.0493292945	-12.656804225	-6.019623442	-8.8050854725	0	0	0	0	0	0
N13	Pyrene	NBD	CSG|TBC|TOG|TPC	N13	via.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.263357173	-1.595609962	-0.6490696665	0.5623323815	-4.8881817375	-0.0773129455	0	0	0	0	0	0
N14	Tetraethylthiuram disulfide	NBD	CSG|TBC|TOG|TPC	N14	via.a		-10.2744688	-4.31793492	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	5.6794278505	-0.1772899955	-7.7109476425	-1.098710961	-6.7974896135	-22.961944851	0	0	0	0	0	-22.9619449
N15	Di(2-ethylhexyl) phthalate	NBD	CSG|TBC|TOG|TPC	N15	via.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	2.5157761885	-1.46053187	-0.8567719605	-2.3444934685	-8.282506852	-7.9804140535	0	0	0	0	0	0
N16	Bisphenol A	NBD	CSG|TBC|TOG|TPC	N16	via.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	0.496424064	0.363022372	1.081782778	3.3999480925	-1.7767170515	-1.5204879305	0	0	0	0	0	0
N17	2,2',4,4',5-Pentabromodiphenyl ether	NBD	CSG|TBC|TOG|TPC	N17	via.a		-43.8350302	-4.7428319	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	0.9676062265	-0.582524272	-8.8186932045	-2.4137036075	-16.69760453	-57.2545314	0	0	0	0	-16.6976045	-57.2545314
N18	2,2'4,4'-Tetrabromodiphenyl ether	NBD	CSG|TBC|TOG|TPC	N18	via.a		-39.3922104	-4.46757185	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.782498948	-5.4453355825	5.3050627435	-1.306341379	-5.45390259	-85.08719182	0	0	0	0	0	-85.0871918
N19	Berberine chloride	NBD	CSG|TBC|TOG|TPC	N19	via.a		-53.0456524	-5.30345318	OK	1	0 0 0 0 1 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.8498106855	-1.595609962	-5.7723929035	-21.44649191	-9.060373022	-17.80774848	0	0	0	-21.4464919	-19.7103701	-17.8077485
N2	Valinomycin	NBD	CSG|TBC|TOG|TPC	N2	via.a		-17.4572745	-4.39996763	BASE_SHIFT?	5	1 1 1 1 1 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-13.908287755	-13.27986492	-9.926438773	-15.63284021	-17.4754707	-38.287088735	0	0	0	0	0	-38.2870887
N20	Phenobarbital 	NBD	CSG|TBC|TOG|TPC	N20	via.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.186369373	-0.514985226	3.435742103	3.261527814	-0.7159904535	-2.894940297	0	0	0	0	0	0
N21	1-ethyl-3-methylimidazolium diethylphosphate 	NBD	CSG|TBC|TOG|TPC	N21	via.a		0	-4	OK	1	0 0 0 1 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.304164914	0.7682566485	-4.0415404585	-11.6878622695	-7.8582162115	-8.873808092	0	0	0	0	0	0
N22	Benzo(a)pyrene	NBD	CSG|TBC|TOG|TPC	N22	via.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.371476651	0.0253271424999999	0.2509736045	4.4381001815	0.415451251	-0.146035564	0	0	0	0	0	0
N23	Benzo(k)fluoranthene	NBD	CSG|TBC|TOG|TPC	N23	via.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	2.9196466135	-0.650063318	2.120294245	-0.2681892895	-2.0595774775	-1.8641010225	0	0	0	0	0	0
N24	n-Hexane 	NBD	CSG|TBC|TOG|TPC	N24	via.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.9772822885	0.5656395105	-4.526179143	1.600484471	-5.312472377	-7.9116914355	0	0	0	0	0	0
N25	4-H-Cyclopenta(d,e,f)phenanthrene	NBD	CSG|TBC|TOG|TPC	N25	via.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	2.583087926	0.7007176025	-2.1722198185	-1.8600224935	1.3347476355	-0.146035564	0	0	0	0	0	0
N26	3,3',5,5'-Tetrabromobisphenol A	NBD	CSG|TBC|TOG|TPC	N26	via.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.3883045855	0.025327142	0.043271311	-1.929232633	-0.503845134	4.389657246	0	0	0	0	0	0
N27	Toluene	NBD	CSG|TBC|TOG|TPC	N27	via.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.3786285235	2.5242718445	5.2358286455	-3.5210658365	-3.898170247	-0.352203419	0	0	0	0	0	0
N28	Tris(2-chloroethyl) phosphate	NBD	CSG|TBC|TOG|TPC	N28	via.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.169541439	-1.933305192	1.427953267	0.3547019635	-3.120304075	-2.3451593505	0	0	0	0	0	0
N29	Captan	NBD	CSG|TBC|TOG|TPC	N29	via.a		-4.95983674	-4.11798973	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	0.631047539	-1.7982271	1.2894850715	-0.752660265	-1.4231415185	-11.6227128245	0	0	0	0	0	-11.6227128
N3	3,3'-Iminodipropionitrile	NBD	CSG|TBC|TOG|TPC	N3	via.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.5734118635	0.700717602	1.774123756	4.4381001815	-8.777512596	-3.032385534	0	0	0	0	0	0
N30	Hexachlorophene	NBD	CSG|TBC|TOG|TPC	N30	via.a		-18.0370525	-4.40381445	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.0349179635	-1.46053187	9.251406319	-2.8981745825	-0.645275347	-39.524095865	0	0	0	0	0	-39.5240959
N31_1	Deltamethrin	NBD	CSG|TBC|TOG|TPC	N31_1	via.a		-42.2266808	-4.47124194	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	4.804375263	0.498100464	-0.649069667	-4.005536811	-8.636082383	-91.134782235	0	0	0	0	0	-91.1347822
