Chemical.ID	Chemical.Name	pathway	parent	uniqueID	readout	mask	curvep_wauc	curvep_pod	curvep_remark	curvep_n_corrections	curvep_mask	conc0	conc1	conc2	conc3	conc4	conc5	resp0	resp1	resp2	resp3	resp4	resp5	curvep_r0	curvep_r1	curvep_r2	curvep_r3	curvep_r4	curvep_r5
N1	Hydroxyurea	TBC		N1	luc.a		0	-4	NOISY	1	0 0 0 0 1 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.618828469	6.5877924175	2.1079670275	0.7338207045	-42.07495895	-7.3554586105	0	0	0	0	0	0
N10	Phenobarbital sodium salt 	TBC		N10	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	4.2509385975	9.0219498725	1.3697309435	2.8952059815	-13.026394096	-16.27367607	0	0	0	0	0	0
N11	2- ethylhexyl diphenyl phosphate (EHDP)	TBC		N11	luc.a		-65.2067851	-4.54404803	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-8.269078087	-0.0297193645	-1.269187596	-2.223573472	-21.975004125	-96.449279365	0	0	0	0	-21.9750041	-96.4492794
N12	Dieldrin	TBC		N12	luc.a		-76.3203526	-5.10436065	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-5.776916556	4.7933088975	-12.2600904885	-26.236508615	-33.786022095	-29.493621955	0	0	0	-26.2365086	-33.7860221	-29.493622
N13	Pyrene	TBC		N13	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-11.7839408995	7.159536379	-0.266508734999999	-12.566161332	-11.5923219795	4.6661880835	0	0	0	0	0	0
N14	Tetraethylthiuram disulfide	TBC		N14	luc.a		-237.842556	-5.73821977	OK	1	0 0 0 1 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-6.546633834	-3.228089045	-38.274648613	-1.455203768	-71.972494495	-82.235352585	0	0	-38.2746486	-55.894536	-71.9724945	-82.2353526
N15	Di(2-ethylhexyl) phthalate	TBC		N15	luc.a		-57.8407542	-4.60905464	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-5.4001318745	0.666562885	-0.4758592665	-6.8724865595	-25.629019885	-72.08570324	0	0	0	0	-25.6290199	-72.0857032
N16	Bisphenol A	TBC		N16	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-8.1291294925	-3.024299118	-3.252508419	-7.6242727435	-13.55986893	-18.858026395	0	0	0	0	0	0
N17	2,2',4,4',5-Pentabromodiphenyl ether	TBC		N17	luc.a		-82.1252886	-4.80598476	OK	1	0 0 1 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-9.060325919	4.0857049855	-57.02804884	-5.103577895	-51.643088135	-66.132862115	0	0	0	0	-51.6430881	-66.1328621
N18	2,2'4,4'-Tetrabromodiphenyl ether	TBC		N18	luc.a		-74.6146677	-4.66266181	BLIP	1	1 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-41.345390442	10.901345864	-2.9880656425	0.9051837315	-29.701784705	-97.619967975	0	0	0	0	-29.7017847	-97.619968
