Chemical.ID	Chemical.Name	pathway	parent	uniqueID	readout	mask	curvep_wauc	curvep_pod	curvep_remark	curvep_n_corrections	curvep_mask	conc0	conc1	conc2	conc3	conc4	conc5	resp0	resp1	resp2	resp3	resp4	resp5	curvep_r0	curvep_r1	curvep_r2	curvep_r3	curvep_r4	curvep_r5
N1	Hydroxyurea	TOG		N1	luc.a		0	-4	NOISY	1	0 0 0 0 1 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	0.9423243375	5.0147692505	1.274663823	1.0265229245	-23.5212638355	-4.154409892	0	0	0	0	0	0
N10	Phenobarbital sodium salt 	TOG		N10	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.516719309	7.0895117295	0.51659377	2.0906807875	-7.042802074	-8.349404035	0	0	0	0	0	0
N11	2- ethylhexyl diphenyl phosphate (EHDP)	TOG		N11	luc.a		-43.3937334	-4.46159693	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-3.5160723005	1.969101028	-0.5515843415	-0.70259805	-10.485713163	-93.856005925	0	0	0	0	0	-93.8560059
N12	Dieldrin	TOG		N12	luc.a		-40.906662	-5.09703328	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.9405111125	5.0029707155	-5.3627265585	-13.50646352	-18.85550178	-15.55461691	0	0	0	-13.5064635	-18.8555018	-15.5546169
N13	Pyrene	TOG		N13	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.1457706375	5.88424559	-0.327856552	-5.6401905625	-5.4511811905	1.7115843755	0	0	0	0	0	0
N14	Tetraethylthiuram disulfide	TOG		N14	luc.a		-73.0249127	-4.8703059	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.8497855415	0.4108739585	1.439627864	0.1261710315	-40.467021725	-67.297812495	0	0	0	0	-40.4670217	-67.2978125
N15	Di(2-ethylhexyl) phthalate	TOG		N15	luc.a		-21.880812	-4.40294319	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.3323620525	2.2762863945	0.783387673	-2.8422848165	-8.6658521365	-47.95630777	0	0	0	0	0	-47.9563078
N16	Bisphenol A	TOG		N16	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-3.460424907	0.9776482685	-0.823953999	-2.644267612	-6.480021609	-10.299113174	0	0	0	0	0	0
N17	2,2',4,4',5-Pentabromodiphenyl ether	TOG		N17	luc.a		-59.2638139	-4.83846598	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-3.7198190665	4.3049674775	-10.5244126825	-2.7595994915	-32.490579465	-56.05934248	0	0	0	0	-32.4905795	-56.0593425
N18	2,2'4,4'-Tetrabromodiphenyl ether	TOG		N18	luc.a		-59.9105486	-4.64450009	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	0.4004026535	7.369410668	-0.5919891825	0.2158277025	-14.7632494055	-96.24261359	0	0	0	0	-14.7632494	-96.2426136
N19	Berberine chloride	TOG		N19	luc.a		-49.0597696	-4.72768798	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-3.2126165275	1.622846578	-2.5001373755	-5.3017549615	-19.273235595	-63.278874445	0	0	0	0	-19.2732356	-63.2788744
N2	Valinomycin	TOG		N2	luc.a		-51.6685062	-5.04953795	BLIP	1	1 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-13.2956751785	-6.9318535405	-6.933611375	-12.15121582	-19.72073724	-37.78671524	0	0	0	-12.1512158	-19.7207372	-37.7867152
N20	Phenobarbital 	TOG		N20	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	2.0915726185	4.9364881675	0.1185655225	3.7667988775	-2.796038871	-9.135603766	0	0	0	0	0	0
N21	1-ethyl-3-methylimidazolium diethylphosphate 	TOG		N21	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.486031754	3.0436358005	-0.5232404925	-9.0067360735	-10.341934181	-5.760409434	0	0	0	0	0	0
N22	Benzo(a)pyrene	TOG		N22	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	2.0526291195	3.7278555545	2.326848459	2.261463268	-0.00492827899999992	4.1390385495	0	0	0	0	0	0
N23	Benzo(k)fluoranthene	TOG		N23	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-4.8139241265	1.915274513	0.793200794	-8.1396555745	-6.52502242	2.941965035	0	0	0	0	0	0
N24	n-Hexane 	TOG		N24	luc.a		-4.67616195	-4.01155966	OK	1	0 0 1 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.9759712385	2.3627190005	-35.7675281995	-0.6564890525	-5.1895749375	-11.248682885	0	0	0	0	0	-11.2486829
N25	4-H-Cyclopenta(d,e,f)phenanthrene	TOG		N25	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.252944197	2.086033032	1.134908238	-3.554312258	-2.204634888	-6.409197274	0	0	0	0	0	0
N26	3,3',5,5'-Tetrabromobisphenol A	TOG		N26	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.0800161215	-0.9704121385	-0.4031318195	-3.155132997	-7.4446651405	-5.8172746655	0	0	0	0	0	0
N27	Toluene	TOG		N27	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.866975268	1.3570010765	3.3365147385	-3.24120588	-5.165796368	-3.272117427	0	0	0	0	0	0
N28	Tris(2-chloroethyl) phosphate	TOG		N28	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.647723411	2.7269914915	1.0120349415	-3.360544992	-7.455956024	-5.8480995785	0	0	0	0	0	0
N29	Captan	TOG		N29	luc.a		-19.9968015	-4.39197045	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.1771838955	2.637086549	2.914555705	2.7374461035	-6.1514206815	-43.936606545	0	0	0	0	0	-43.9366065
