Chemical.ID	Chemical.Name	pathway	parent	uniqueID	readout	mask	curvep_wauc	curvep_pod	curvep_remark	curvep_n_corrections	curvep_mask	conc0	conc1	conc2	conc3	conc4	conc5	resp0	resp1	resp2	resp3	resp4	resp5	curvep_r0	curvep_r1	curvep_r2	curvep_r3	curvep_r4	curvep_r5
N1	Hydroxyurea	TPC		N1	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-5.04380447	5.9618208535	2.5413530285	7.0934569295	-11.4411632015	-9.761308127	0	0	0	0	0	0
N10	Phenobarbital sodium salt 	TPC		N10	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.2348285565	-6.88516887	2.597984851	9.777793871	7.3718059945	1.176715129	0	0	0	0	0	0
N11	2- ethylhexyl diphenyl phosphate (EHDP)	TPC		N11	luc.a		-42.5686195	-4.41059593	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	8.598485714	12.634361235	1.3426461215	4.0615080085	-5.9999305985	-93.13602088	0	0	0	0	0	-93.1360209
N12	Dieldrin	TPC		N12	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-4.6869638815	-13.2569750375	-10.6916161285	-17.249037429	-12.894009325	-13.678302945	0	0	0	0	0	0
N13	Pyrene	TPC		N13	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-3.5432440485	-4.610866375	2.428089384	1.0488708645	5.2989554755	13.42656212	0	0	0	0	0	0
N14	Tetraethylthiuram disulfide	TPC		N14	luc.a		-174.841668	-5.65254882	OK	1	0 0 0 1 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	11.9381476305	7.578267254	-27.464074185	-6.46341022	-51.08442933	-72.119126525	0	0	-27.4640742	-39.8146558	-51.0844293	-72.1191265
N15	Di(2-ethylhexyl) phthalate	TPC		N15	luc.a		-21.7245369	-4.30798242	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	8.4886886095	13.11365639	6.6943533355	2.168953905	7.6586737005	-48.663348615	0	0	0	0	0	-48.6633486
N16	Bisphenol A	TPC		N16	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	5.8535581125	10.190895741	6.5244578685	0.7398824395	-0.41063724	4.9551370145	0	0	0	0	0	0
N17	2,2',4,4',5-Pentabromodiphenyl ether	TPC		N17	luc.a		-142.285678	-5.56642175	OK	1	0 0 0 1 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	4.453645035	9.138325991	-22.0085419645	12.944925225	-38.998970515	-70.90892294	0	0	-22.008542	-30.8924759	-38.9989705	-70.9089229
N18	2,2'4,4'-Tetrabromodiphenyl ether	TPC		N18	luc.a		-43.9888229	-4.41413388	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-18.146258891	-7.712187959	10.4320536135	9.642611437	-5.888885033	-96.166148945	0	0	0	0	0	-96.1661489
N19	Berberine chloride	TPC		N19	luc.a		-108.083784	-5.16022313	OK	1	0 0 0 0 1 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	4.966031521	2.738325991	-1.6588404635	-28.836103365	-21.897953755	-61.772347775	0	0	0	-28.8361034	-44.5506856	-61.7723478
N2	Valinomycin	TPC		N2	luc.a		-52.3671708	-4.66381996	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-15.300683945	-17.02555066	-18.808844005	-18.03116438	-28.384865415	-54.067692875	0	0	0	0	-28.3848654	-54.0676929
N20	Phenobarbital 	TPC		N20	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.877987968	4.6367107195	5.6466646215	10.994435795	1.134746851	3.273785466	0	0	0	0	0	0
N21	1-ethyl-3-methylimidazolium diethylphosphate 	TPC		N21	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	10.3826886565	12.9820851675	-0.77160858	-19.740256605	-12.366542898	-18.33435338	0	0	0	0	0	0
N22	Benzo(a)pyrene	TPC		N22	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	6.7593842215	9.9465491945	4.1836758775	11.0137475715	5.780152919	3.7634098175	0	0	0	0	0	0
N23	Benzo(k)fluoranthene	TPC		N23	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	3.346524236	11.5066079275	4.164798603	-3.885288047	3.7165561995	7.163065695	0	0	0	0	0	0
N24	n-Hexane 	TPC		N24	luc.a		0	-4	NOISY	1	0 0 1 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	9.6964567565	11.77914831	-22.1878760715	-1.9251427265	-4.102902222	-14.9531739	0	0	0	0	0	0
N25	4-H-Cyclopenta(d,e,f)phenanthrene	TPC		N25	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	5.103277901	13.311013215	2.881143963	0.3536469085	7.242252837	10.322528493	0	0	0	0	0	0
N26	3,3',5,5'-Tetrabromobisphenol A	TPC		N26	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	4.298099138	12.7189427305	5.1747327685	3.7621754715	2.726399926	9.3248034	0	0	0	0	0	0
N27	Toluene	TPC		N27	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	9.5317611015	12.00469897	10.9983718365	4.8146672955	-4.621114851	4.0313174825	0	0	0	0	0	0
N28	Tris(2-chloroethyl) phosphate	TPC		N28	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	2.3583502985	8.1891336275	4.532905448	1.763406597	1.98609617	12.373407856	0	0	0	0	0	0
N29	Captan	TPC		N29	luc.a		-17.1002161	-4.25333247	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	5.725461491	7.6440528635	3.9571485875	7.8755838795	-2.159604861	-38.796956015	0	0	0	0	0	-38.796956
N3	3,3'-Iminodipropionitrile	TPC		N3	luc.a		0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.4342246725	15.397356825	7.6476556795	-7.390375492	9.250326776	12.1886439495	0	0	0	0	0	0
N30	Hexachlorophene	TPC		N30	luc.a		-76.3155946	-4.73642858	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.5897705695	10.4446402335	11.3192854935	-5.5750684965	-36.20432384	-86.24432717	0	0	0	0	-36.2043238	-86.2443272
N31_1	Deltamethrin	TPC		N31_1	luc.a		-43.906555	-4.41393503	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	4.0236063775	10.4540381785	1.86177116	0.0156908185	-18.520317865	-95.99062323	0	0	0	0	0	-95.9906232
